date,department,issue_key,hours,started,confidence,reason,comment,source_text
2026-05-29,KMMOM3-4430,KMMOM3-4430,8,2026-05-29T09:00:00.000+0800,high,Markdown 标签直接映射到 Jira issue,与陈聪沟通需要给实习生提供一条业务主线的测试用例，【HX】月计划功能冒烟测试完成，相关bug已修改完成并关闭，已发送升级包给HX,【KMMOM3-4430】与陈聪沟通需要给实习生提供一条业务主线的测试用例，【HX】月计划功能冒烟测试完成，相关bug已修改完成并关闭，已发送升级包给HX
2026-05-28,KMMOM3-4430,KMMOM3-4430,8,2026-05-28T09:00:00.000+0800,high,Markdown 标签直接映射到 Jira issue,完成产品缺陷回归验证7个，回归验证完成；【测试用例维护】在MeterSphere上创建项目级测试用例目录，并将已编写的HX项目测试用例上传并发送给对应的需求开发人员评审；【产品研发流程】参加产品研发全链路流程团队宣讲会,【KMMOM3-4430】【产品缺陷与测试管理】完成产品缺陷回归验证7个，回归验证完成；【测试用例维护】在MeterSphere上创建项目级测试用例目录，并将已编写的HX项目测试用例上传并发送给对应的需求开发人员评审；【产品研发流程】参加产品研发全链路流程团队宣讲会；
2026-05-27,KMMOM3-4430,KMMOM3-4430,8,2026-05-27T09:00:00.000+0800,high,Markdown 标签直接映射到 Jira issue,完成月计划功能测试用例编写，并生成测试用例评审skill，完成初步评审与人工审核；参加薛启宽组织的月计划功能演示会议，记录演示问题，已同步发送至HX项目沟通群；【MOM测试组实习生培养】进行了第一次阶段性考核，考核内容聚焦于缺陷与用例生成方法及系统了解程度；了解到已熟练运用 AI 开展工作，并完成主数据与角色权限导入，后续需按计划执行业务场景跑通系统主线流程，以进一步了解系统主线业务,【KMMOM3-4430】【HX项目】完成月计划功能测试用例编写，并生成测试用例评审skill，完成初步评审与人工审核；参加薛启宽组织的月计划功能演示会议，记录演示问题，已同步发送至HX项目沟通群；【MOM测试组实习生培养】进行了第一次阶段性考核，考核内容聚焦于缺陷与用例生成方法及系统了解程度；了解到已熟练运用 AI 开展工作，并完成主数据与角色权限导入，后续需按计划执行业务场景跑通系统主线流程，以进一步了解系统主线业务；
2026-05-26,KMMOM3-4430,KMMOM3-4430,8,2026-05-26T09:00:00.000+0800,high,Markdown 标签直接映射到 Jira issue,完成工作台卡片布局功能验证，发现并提交bug8个，同时在布局配置手册中补充了此块内容，文档地址为http://192.168.30.69:40008/view/03-%E4%BA%A7%E5%93%81%E5%B9%B3%E5%8F%B0%2F07-%E8%87%AA%E5%AE%9A%E4%B9%89%E5%B8%83%E5%B1%80%E9%85%8D%E7%BD%AE.md；【仓储管理】确认仓储管理模块的生产厂家字段已修改为非必填，但测试环境目前仍存在必填校验问题，目前谢天浩已修复，待更新数据模型后验证；【技能开发】基于缺陷单生成Skill，完成编写缺陷导入Jira的Skill，可用于自动化缺陷录入流程。,【KMMOM3-4430】【工作台卡片布局】完成工作台卡片布局功能验证，发现并提交bug8个，同时在布局配置手册中补充了此块内容，文档地址为http://192.168.30.69:40008/view/03-%E4%BA%A7%E5%93%81%E5%B9%B3%E5%8F%B0%2F07-%E8%87%AA%E5%AE%9A%E4%B9%89%E5%B8%83%E5%B1%80%E9%85%8D%E7%BD%AE.md；【仓储管理】确认仓储管理模块的生产厂家字段已修改为非必填，但测试环境目前仍存在必填校验问题，目前谢天浩已修复，待更新数据模型后验证；【技能开发】基于缺陷单生成Skill，完成编写缺陷导入Jira的Skill，可用于自动化缺陷录入流程。
2026-05-25,KMMOM3-4430,KMMOM3-4430,8,2026-05-25T09:00:00.000+0800,high,Markdown 标签直接映射到 Jira issue,向测试组实习生对MOM系统功能进行讲解，涵盖基础数据、APS、计划执行、角色权限等模块的操作要点，并同步讲解了Jira中故事点和缺陷的标准工作流以及低代码平台的核心功能；后续让其按照计划执行的业务主线，在系统中完整跑通相关功能模块，以巩固理解并验证学习成果；【产品缺陷】完成用户管理模块以及生产退料相关的Bug回归验证（5个），包括【用户管理】配置创建时间倒序排序后选左侧组织树触发系统报错、用户列表创建者和修改者字段为空、新增用户未选组织查看详情仍显示组织有值、引入用户窗口（组织＋用户）界面报错、退料失败等问题，所有验证项通过；【HX项目】跟踪HX问题清单中缺陷单，（字段显示*、缺少一级工艺展开按钮的权限（缺少配置导入包，已手动导入功能权限）、质量方案引入不生效问题），HX测试环境更新后完成对应问题验证并反馈给HX交付张顺心,【KMMOM3-4430】【MOM培训】向测试组实习生对MOM系统功能进行讲解，涵盖基础数据、APS、计划执行、角色权限等模块的操作要点，并同步讲解了Jira中故事点和缺陷的标准工作流以及低代码平台的核心功能；后续让其按照计划执行的业务主线，在系统中完整跑通相关功能模块，以巩固理解并验证学习成果；【产品缺陷】完成用户管理模块以及生产退料相关的Bug回归验证（5个），包括【用户管理】配置创建时间倒序排序后选左侧组织树触发系统报错、用户列表创建者和修改者字段为空、新增用户未选组织查看详情仍显示组织有值、引入用户窗口（组织＋用户）界面报错、退料失败等问题，所有验证项通过；【HX项目】跟踪HX问题清单中缺陷单，（字段显示***、缺少一级工艺展开按钮的权限（缺少配置导入包，已手动导入功能权限）、质量方案引入不生效问题），HX测试环境更新后完成对应问题验证并反馈给HX交付张顺心
2026-05-22,KMMOM3-4430,KMMOM3-4430,8,2026-05-22T09:00:00.000+0800,high,Markdown 标签直接映射到 Jira issue,查看通用技术 - MES 项目建设方案汇报 PPT 中产品 “业务场景解决方案” 模块，与陈少平沟通售前演示路线及重点功能后进行售前功能演示；完成组箱后回库上架任务未完成时限制取消拣配功能测试的回归验证,【KMMOM3-4430】查看通用技术 - MES 项目建设方案汇报 PPT 中产品 “业务场景解决方案” 模块，与陈少平沟通售前演示路线及重点功能后进行售前功能演示；完成组箱后回库上架任务未完成时限制取消拣配功能测试的回归验证
2026-05-21,KMMOM3-4430,KMMOM3-4430,8,2026-05-21T09:00:00.000+0800,high,Markdown 标签直接映射到 Jira issue,参加用户管理接入布局功能演示并完成测试；向 HX 用户边旭演示仓储物流功能操作；与李飞、高锐、宋珮、方丛哲沟通立体库出库-组箱后回库，上架任务未完成时取消拣配的业务场景（结论：组箱后回库上架任务未完成时，应限制取消拣配）,【KMMOM3-4430】参加用户管理接入布局功能演示并完成测试；向 HX 用户边旭演示仓储物流功能操作；与李飞、高锐、宋珮、方丛哲沟通立体库出库-组箱后回库，上架任务未完成时取消拣配的业务场景（结论：组箱后回库上架任务未完成时，应限制取消拣配）；
2026-05-20,KMMOM3-4430,KMMOM3-4430,8,2026-05-20T09:00:00.000+0800,high,Markdown 标签直接映射到 Jira issue,在售前演示环境上准备了机加、装配业务数据发给陈少平 ；完成仓储出入库界面支持布局功能测试；参与王晴主持的 KMMOM 配置库管理规范宣讲；服务端布局手册添加截图内容；参加测试部门例会,【KMMOM3-4430】在售前演示环境上准备了机加、装配业务数据发给陈少平 ；完成仓储出入库界面支持布局功能测试；参与王晴主持的 KMMOM 配置库管理规范宣讲；服务端布局手册添加截图内容；参加测试部门例会；
2026-05-19,KMMOM3-4430,KMMOM3-4430,8,2026-05-19T09:00:00.000+0800,high,Markdown 标签直接映射到 Jira issue,参加西安自动化 MOM 产品售前会议并进行系统功能演示MOM系统演示问题记录；HX问题清单中缺陷单跟踪；质量报告模板设计-表格宽高自定义功能相关缺陷回归验证；参加HX项目需求-月计划管理评审会议,【KMMOM3-4430】参加西安自动化 MOM 产品售前会议并进行系统功能演示MOM系统演示问题记录；HX问题清单中缺陷单跟踪；质量报告模板设计-表格宽高自定义功能相关缺陷回归验证；参加HX项目需求-月计划管理评审会议；
2026-05-18,KMMOM3-4430,KMMOM3-4430,8,2026-05-18T09:00:00.000+0800,high,Markdown 标签直接映射到 Jira issue,整理产品的培训视频资料产品培训资料；模型权限（字段级权限）代码回退验证；BJHX-MOM系统测试问题清单跟踪；布局操作手册编写,【KMMOM3-4430】整理产品的培训视频资料产品培训资料；模型权限（字段级权限）代码回退验证；BJHX-MOM系统测试问题清单跟踪；布局操作手册编写；
2026-05-15,KMMOM3-4430,KMMOM3-4430,8,2026-05-15T09:00:00.000+0800,high,Markdown 标签直接映射到 Jira issue,MOM-AI四个场景可用性验证（目前69测试环境上四个场景均可正常使用）；跟踪HX-HGP功能问题（HGP入库窗口组件问题、HGP库存数量为0时不显示库存数量、以及出库数量限制问题，以上问题已解决）；参加HX-批量报工（横向报工、纵向报工）功能演示；新增窗口添加字段级权限控制（目前系统的新增窗口也添加了字段级权限控制，但所有的字段默认均为不可编辑，建议添加字段级权限初始化默认值；）,【KMMOM3-4430】MOM-AI四个场景可用性验证（目前69测试环境上四个场景均可正常使用）；跟踪HX-HGP功能问题（HGP入库窗口组件问题、HGP库存数量为0时不显示库存数量、以及出库数量限制问题，以上问题已解决）；参加HX-批量报工（横向报工、纵向报工）功能演示；新增窗口添加字段级权限控制（目前系统的新增窗口也添加了字段级权限控制，但所有的字段默认均为不可编辑，建议添加字段级权限初始化默认值；）
