date,department,issue_key,hours,status,worklog_id,message
2026-05-29,KMMOM3-4430,KMMOM3-4430,8,created,201703,写入成功
2026-05-28,KMMOM3-4430,KMMOM3-4430,8,created,201704,写入成功
2026-05-27,KMMOM3-4430,KMMOM3-4430,8,created,201705,写入成功
2026-05-26,KMMOM3-4430,KMMOM3-4430,8,created,201706,写入成功
2026-05-25,KMMOM3-4430,KMMOM3-4430,8,created,201707,写入成功
2026-05-22,KMMOM3-4430,KMMOM3-4430,8,created,201708,写入成功
2026-05-21,KMMOM3-4430,KMMOM3-4430,8,created,201709,写入成功
2026-05-20,KMMOM3-4430,KMMOM3-4430,8,created,201710,写入成功
2026-05-19,KMMOM3-4430,KMMOM3-4430,8,created,201711,写入成功
2026-05-18,KMMOM3-4430,KMMOM3-4430,8,created,201712,写入成功
2026-05-15,KMMOM3-4430,KMMOM3-4430,8,created,201713,写入成功
2026-05-14,KMMOM3-4430,KMMOM3-4430,8,created,201714,写入成功
2026-05-13,KMMOM3-4430,KMMOM3-4430,8,created,201715,写入成功
2026-05-12,KMMOM3-4430,KMMOM3-4430,8,created,201716,写入成功
2026-05-09,KMMOM3-4430,KMMOM3-4430,8,created,201717,写入成功
2026-05-08,KMMOM3-4430,KMMOM3-4430,8,created,201718,写入成功
2026-05-07,KMMOM3-4430,KMMOM3-4430,8,created,201719,写入成功
2026-05-06,KMMOM3-4430,KMMOM3-4430,8,created,201720,写入成功
